Total configs generated: 642978
Total configs: 642978
Already evaluated: 168238
New configs to evaluate: 592503
------------------------------------------------------------
[1250/592503 |   0.21%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1025.6 min | Rate:  9.61 cfg/s
[1275/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 1009.4 min | Rate:  9.76 cfg/s
[1300/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 993.8 min | Rate:  9.91 cfg/s
[1325/592503 |   0.22%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 978.9 min | Rate: 10.07 cfg/s
[1350/592503 |   0.23%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 964.8 min | Rate: 10.21 cfg/s
[1375/592503 |   0.23%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 951.7 min | Rate: 10.35 cfg/s
[1400/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 938.7 min | Rate: 10.49 cfg/s
[1425/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 927.0 min | Rate: 10.63 cfg/s
[1450/592503 |   0.24%] Best: 144.252760 | Elapsed:   2.2 min | ETA: 915.0 min | Rate: 10.77 cfg/s
[1475/592503 |   0.25%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 903.4 min | Rate: 10.90 cfg/s
[1500/592503 |   0.25%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 891.8 min | Rate: 11.04 cfg/s
[1525/592503 |   0.26%] Best: 144.252760 | Elapsed:   2.3 min | ETA: 882.7 min | Rate: 11.16 cfg/s
[1550/592503 |   0.26%] Best: 144.252760 | Elapsed:   2.5 min | ETA: 934.7 min | Rate: 10.54 cfg/s
[1575/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.5 min | ETA: 934.1 min | Rate: 10.54 cfg/s
[1600/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.7 min | ETA: 980.1 min | Rate: 10.05 cfg/s
[1625/592503 |   0.27%] Best: 144.252760 | Elapsed:   2.7 min | ETA: 976.4 min | Rate: 10.09 cfg/s
[1650/592503 |   0.28%] Best: 144.252760 | Elapsed:   2.8 min | ETA: 1011.8 min | Rate:  9.73 cfg/s
[1675/592503 |   0.28%] Best: 144.252760 | Elapsed:   2.9 min | ETA: 1016.2 min | Rate:  9.69 cfg/s
[1700/592503 |   0.29%] Best: 144.252760 | Elapsed:   3.0 min | ETA: 1049.8 min | Rate:  9.38 cfg/s
[1725/592503 |   0.29%] Best: 144.252760 | Elapsed:   3.1 min | ETA: 1052.9 min | Rate:  9.35 cfg/s
[1750/592503 |   0.30%] Best: 144.252760 | Elapsed:   3.2 min | ETA: 1069.6 min | Rate:  9.21 cfg/s
[1775/592503 |   0.30%] Best: 144.252760 | Elapsed:   3.3 min | ETA: 1095.1 min | Rate:  8.99 cfg/s
[1800/592503 |   0.30%] Best: 144.252760 | Elapsed:   3.4 min | ETA: 1103.4 min | Rate:  8.92 cfg/s
[1825/592503 |   0.31%] Best: 144.252760 | Elapsed:   3.5 min | ETA: 1130.2 min | Rate:  8.71 cfg/s
[1850/592503 |   0.31%] Best: 144.252760 | Elapsed:   3.6 min | ETA: 1138.2 min | Rate:  8.65 cfg/s
[1875/592503 |   0.32%] Best: 144.252760 | Elapsed:   3.7 min | ETA: 1167.4 min | Rate:  8.43 cfg/s
[1900/592503 |   0.32%] Best: 144.252760 | Elapsed:   3.7 min | ETA: 1156.5 min | Rate:  8.51 cfg/s
[1925/592503 |   0.32%] Best: 144.252760 | Elapsed:   3.9 min | ETA: 1188.8 min | Rate:  8.28 cfg/s
[1950/592503 |   0.33%] Best: 144.252760 | Elapsed:   3.9 min | ETA: 1182.1 min | Rate:  8.33 cfg/s
[1975/592503 |   0.33%] Best: 144.252760 | Elapsed:   4.0 min | ETA: 1210.5 min | Rate:  8.13 cfg/s
[2000/592503 |   0.34%] Best: 144.252760 | Elapsed:   4.1 min | ETA: 1219.7 min | Rate:  8.07 cfg/s
[2025/592503 |   0.34%] Best: 144.252760 | Elapsed:   4.2 min | ETA: 1212.5 min | Rate:  8.12 cfg/s
[2050/592503 |   0.35%] Best: 144.252760 | Elapsed:   4.2 min | ETA: 1220.8 min | Rate:  8.06 cfg/s
[2075/592503 |   0.35%] Best: 144.252760 | Elapsed:   4.3 min | ETA: 1216.6 min | Rate:  8.09 cfg/s
[2100/592503 |   0.35%] Best: 144.252760 | Elapsed:   4.3 min | ETA: 1217.5 min | Rate:  8.08 cfg/s
[2125/592503 |   0.36%] Best: 144.252760 | Elapsed:   4.4 min | ETA: 1221.5 min | Rate:  8.06 cfg/s
[2150/592503 |   0.36%] Best: 144.252760 | Elapsed:   4.4 min | ETA: 1217.5 min | Rate:  8.08 cfg/s
[2175/592503 |   0.37%] Best: 144.252760 | Elapsed:   4.5 min | ETA: 1208.6 min | Rate:  8.14 cfg/s
[2200/592503 |   0.37%] Best: 144.252760 | Elapsed:   4.6 min | ETA: 1222.5 min | Rate:  8.05 cfg/s
[2225/592503 |   0.38%] Best: 144.252760 | Elapsed:   4.6 min | ETA: 1215.5 min | Rate:  8.09 cfg/s
[2250/592503 |   0.38%] Best: 144.252760 | Elapsed:   4.7 min | ETA: 1225.5 min | Rate:  8.03 cfg/s
[2275/592503 |   0.38%] Best: 144.252760 | Elapsed:   4.7 min | ETA: 1219.6 min | Rate:  8.07 cfg/s
[2300/592503 |   0.39%] Best: 144.252760 | Elapsed:   4.8 min | ETA: 1228.4 min | Rate:  8.01 cfg/s
[2325/592503 |   0.39%] Best: 144.252760 | Elapsed:   4.8 min | ETA: 1220.6 min | Rate:  8.06 cfg/s
[2350/592503 |   0.40%] Best: 144.252760 | Elapsed:   4.9 min | ETA: 1222.1 min | Rate:  8.05 cfg/s
[2375/592503 |   0.40%] Best: 144.252760 | Elapsed:   4.9 min | ETA: 1219.2 min | Rate:  8.07 cfg/s
[2400/592503 |   0.41%] Best: 144.252760 | Elapsed:   5.0 min | ETA: 1224.4 min | Rate:  8.03 cfg/s
[2425/592503 |   0.41%] Best: 144.252760 | Elapsed:   5.0 min | ETA: 1220.5 min | Rate:  8.06 cfg/s
[2450/592503 |   0.41%] Best: 144.252760 | Elapsed:   5.0 min | ETA: 1215.5 min | Rate:  8.09 cfg/s
[2475/592503 |   0.42%] Best: 144.252760 | Elapsed:   5.1 min | ETA: 1226.2 min | Rate:  8.02 cfg/s
[2500/592503 |   0.42%] Best: 144.252760 | Elapsed:   5.2 min | ETA: 1219.6 min | Rate:  8.06 cfg/s
[2525/592503 |   0.43%] Best: 144.252760 | Elapsed:   5.2 min | ETA: 1226.2 min | Rate:  8.02 cfg/s
[2550/592503 |   0.43%] Best: 144.252760 | Elapsed:   5.3 min | ETA: 1219.2 min | Rate:  8.07 cfg/s
[2575/592503 |   0.43%] Best: 144.252760 | Elapsed:   5.3 min | ETA: 1224.2 min | Rate:  8.03 cfg/s
[2600/592503 |   0.44%] Best: 144.252760 | Elapsed:   5.4 min | ETA: 1217.1 min | Rate:  8.08 cfg/s
[2625/592503 |   0.44%] Best: 144.252760 | Elapsed:   5.5 min | ETA: 1224.7 min | Rate:  8.03 cfg/s
[2650/592503 |   0.45%] Best: 144.252760 | Elapsed:   5.5 min | ETA: 1218.1 min | Rate:  8.07 cfg/s
[2675/592503 |   0.45%] Best: 144.252760 | Elapsed:   5.6 min | ETA: 1226.5 min | Rate:  8.02 cfg/s
[2700/592503 |   0.46%] Best: 144.252760 | Elapsed:   5.6 min | ETA: 1222.9 min | Rate:  8.04 cfg/s
[2725/592503 |   0.46%] Best: 144.252760 | Elapsed:   5.6 min | ETA: 1222.8 min | Rate:  8.04 cfg/s
